,game,gameclass
1173,STRONG HOLD CRUSADER,"('value', 'a')"
1174,STUFF ON POGO,"('value', 'b')"
1175,SUDOKU,"('value', 'b')"
1176,SUPER MAIO,"('value', 'a')"
1177,SUPER MARIO,"('value', 'b')"
1178,SUPER MARIO 3,"('value', 'b')"
1179,SUPER MARIO GALAXY,"('value', 'a')"
1180,SUPER MARIO GALAXY FOR THE WII,"('value', 'a')"
1181,SUPER MARIO WORLD,"('value', 'b')"
1182,SUPER SMASH BROS,"('value', 'a')"
1183,SUPER SMASH BROTHERS,"('value', 'a')"
1184,SUPER SMASH BROTHERS; NEO PETS.COM (VARIATION OF TETRIS) GADGADS GAME.,"('value', 'a')"
1185,SUPER STREET,"('value', 'f')"
1186,SUPERMARIO GALAXY,"('value', 'a')"
1187,TADS,"('value', 'b')"
1188,TAKEN 4,"('value', 'a')"
1189,TAONAGCHEE TOWN,"('value', 'b')"
1190,TDRISTEN CITY,"('value', 'c')"
1191,TEKKEN IV,"('value', 'a')"
1192,TENNIS,"('value', 'b')"
1193,TEST DRIVE: EVE OF DESTRUCTION,"('value', 'c')"
1194,TETRIS,"('value', 'b')"
1195,THAT'S SO RAVEN,"('value', 'b')"
1196,THE 'SIMS,"('value', 'f')"
1197,THE ITALIAN JOB,"('value', 'a')"
1198,THE SIMS,"('value', 'f')"
1199,THE SIMS 2,"('value', 'b')"
1200,THE SIMS CITY 4,"('value', 'b')"
1201,THE SIMS: CASTAWAY,"('value', 'b')"
1202,THE STRATEGY GAME,"('value', 'b')"
1203,TINY COMBAT 2,"('value', 'a')"
1204,TOMB RAIDER,"('value', 'a')"
1205,TOMY HAWK,"('value', 'b')"
1206,TONY HAWK,"('value', 'b')"
1207,TONY HAWK PROSKATER,"('value', 'c')"
1208,TONY HAWK PROVING GROUNDS,"('value', 'a')"
1209,TORTUGA,"('value', 'b')"
1210,TRANSFORMERS,"('value', 'a')"
1211,TROULBE,"('value', 'b')"
1212,TRUTH OR DARE,"('value', 'b')"
1213,TWISTER,"('value', 'b')"
1214,TYCOON,"('value', 'b')"
1215,TYCOON ZOO,"('value', 'a')"
1216,UNO,"('value', 'b')"
1217,UNSURE,"('value', 'b')"
1218,URBAN SNIPER 2,"('value', 'a')"
1219,VMK,"('value', 'b')"
1220,WAR ROCK,"('value', 'c')"
1221,WARCRAFT,"('value', 'a')"
1222,WARHAMMER ONLINE,"('value', 'a')"
1223,WARWIN,"('value', 'a')"
1224,WEB KING,"('value', 'b')"
1225,WEBINKZ,"('value', 'b')"
1226,WEBKINZ,"('value', 'b')"
1227,WHATEVER IS ON,"('value', 'a')"
1228,WHATEVER LOOKS COOL,"('value', 'b')"
1229,WHEEL OF FORTUNE,"('value', 'a')"
1230,WI SPORTS,"('value', 'b')"
1231,WII SPORTS,"('value', 'c')"
1232,WII...TENNIS GAME,"('value', 'b')"
1233,WORD GAMES LIKE SLIPWORDS,"('value', 'b')"
1234,WORD SEARCH,"('value', 'b')"
1235,WORLD OF WAR CRAFT,"('value', 'b')"
1236,WORLD OF WARCARFT,"('value', 'b')"
1237,WORLD OF WARCRAFT,"('value', 'c')"
1238,WRESTLING 08,"('value', 'a')"
1239,XMEN GAME,"('value', 'a')"
1240,YACHTZEE ,"('value', 'b')"
1241,ZELDA,"('value', 'i')"
1242,ZELDA: OCARINA OF TIME,"('value', 'a')"
1243,ZELDA: TWILIGHT PRINCESS,"('value', 'b')"
1244,ZOO TYCOON,"('value', 'a')"
1245,ZOO TYCOON. WEBKINS (INTERNET GAME). GUITAR HERO,"('value', 'b')"
1246,ZUMA,"('value', 'b')"
